expt_id,group_id,network_error_repeat,participant_id,participation_duration,response_correct,response_mode,response_name,response_rt,response_target,response_type,response_value,session_id,session_start_time,stimuli_presented,trial_duration,trial_num,trial_template
649404b24416ae18be98e25b,Group2,0,efb78b511c3c0dde4ce00a55621655fe8ebca83c6c32088de4500c84dbffdf02,1811.030767,,,,,,,,649815f64416ae18be98e270,2023-06-25 11:24:54+01:00,welcome,7888,1,welcome
649404b24416ae18be98e25b,Group2,0,efb78b511c3c0dde4ce00a55621655fe8ebca83c6c32088de4500c84dbffdf02,1811.030767,FALSE,click,a_sarcasm,22902,[],choice-response,6,649815f64416ae18be98e270,2023-06-25 11:24:54+01:00,387_P|response_type|387_R,42607,2,4n
649404b24416ae18be98e25b,Group2,0,efb78b511c3c0dde4ce00a55621655fe8ebca83c6c32088de4500c84dbffdf02,1811.030767,FALSE,click,a_appropriateness,19691,[],choice-response,4,649815f64416ae18be98e270,2023-06-25 11:24:54+01:00,387_P|response_type|387_R,42607,2,4n
649404b24416ae18be98e25b,Group2,0,efb78b511c3c0dde4ce00a55621655fe8ebca83c6c32088de4500c84dbffdf02,1811.030767,FALSE,click,a_sarcasm,48482,[],choice-response,6,649815f64416ae18be98e270,2023-06-25 11:24:54+01:00,445_P|response_type|445_R,57444,3,18n
649404b24416ae18be98e25b,Group2,0,efb78b511c3c0dde4ce00a55621655fe8ebca83c6c32088de4500c84dbffdf02,1811.030767,FALSE,click,a_appropriateness,8957,[],choice-response,5,649815f64416ae18be98e270,2023-06-25 11:24:54+01:00,445_P|response_type|445_R,57444,3,18n
649404b24416ae18be98e25b,Group2,0,efb78b511c3c0dde4ce00a55621655fe8ebca83c6c32088de4500c84dbffdf02,1811.030767,FALSE,click,a_sarcasm,71224,[],choice-response,6,649815f64416ae18be98e270,2023-06-25 11:24:54+01:00,511_P|response_type|511_R,92964,4,23n
649404b24416ae18be98e25b,Group2,0,efb78b511c3c0dde4ce00a55621655fe8ebca83c6c32088de4500c84dbffdf02,1811.030767,FALSE,click,a_appropriateness,21733,[],choice-response,4,649815f64416ae18be98e270,2023-06-25 11:24:54+01:00,511_P|response_type|511_R,92964,4,23n
649404b24416ae18be98e25b,Group2,0,efb78b511c3c0dde4ce00a55621655fe8ebca83c6c32088de4500c84dbffdf02,1811.030767,FALSE,click,a_sarcasm,25623,[],choice-response,6,649815f64416ae18be98e270,2023-06-25 11:24:54+01:00,386_P|response_type|386_R,28361,5,6n
649404b24416ae18be98e25b,Group2,0,efb78b511c3c0dde4ce00a55621655fe8ebca83c6c32088de4500c84dbffdf02,1811.030767,FALSE,click,a_appropriateness,2733,[],choice-response,6,649815f64416ae18be98e270,2023-06-25 11:24:54+01:00,386_P|response_type|386_R,28361,5,6n
649404b24416ae18be98e25b,Group2,0,efb78b511c3c0dde4ce00a55621655fe8ebca83c6c32088de4500c84dbffdf02,1811.030767,FALSE,click,a_sarcasm,51481,[],choice-response,6,649815f64416ae18be98e270,2023-06-25 11:24:54+01:00,536_P|response_type|536_R,71563,6,16n
