name,prompts,responses,trial_id,Word Count_x,MRC_concreteness_P,Brysbaert_Concreteness_P,Familiarity_P,Imageability_P,Meaningfulness_P,Word Count_y,MRC_concreteness_R,Brysbaert_Concreteness_R,Familiarity_R,Imageability_R,Meaningfulness_R,sarc_chat
288_P,"You just heard the surprising news that Adam's date has an artificial leg. You bump into him and ask him how the date went. He replies restlessly: ""Great. It was great. She is, uh, she is great, great looking, great personality, she is greatness.""","""Oh so the date was 'greatness' all around, huh? Sounds like you have truly 'legendary' time!""",1n,44,379.2352941,2.697727273,570.0526316,411,452.0625,16,376.4,2.648571429,575.4,419,425.2,3
325_P,"Adam realized his insurance just expired. He comes to you and says, ""When I had insurance I could get hit by a bus or catch on fire, and it wouldn't matter. Now I got have to be careful?""","""Well, Adam, it seems like your newfound realization about the importance of insurance is truly enlightening. Who needs caution and responsibility when you can just rely on a magical shield of coverage? It's a shame you can't catch on fire without consequences anymore.""",2n,38,318.6153846,2.64952381,563.625,316.1875,336.4,43,340.4285714,2.633636364,538.4,380.8,377.8888889,5
327_P,"You and Jen are watching a sad movie together. You are not feeling emotional, but Jen starts sobbing right next to you and says, ""You know what's sadder than this? Bambi. I cried for three days with that movie. No wait, two, because on the third day my mother killed herself, so I was partly crying for that.""","""I'm so sorry, Jen. It must be truly heart-wrenching to relive the trauma of Bambi while watching this movie. I can't even begin to fathom the depths of your sorrow.""",3n,58,402.7777778,3.197083333,574.25,441.4,447.8333333,30,346.5,2.761538462,566.5,369.875,356.1428571,6
387_P,"You and Adam are visiting the his pet monkey that he brought to the zoo one last year ago for a better life. Adam says to you, ""This is so exciting! I haven't seen my monkey in almost a year.""","""Oh, yes, Adam, it's absolutely thrilling to reunite with your long-lost monkey friend after a whole year. I'm sure the monkey has been eagerly counting down the days, just as you have.""",4n,40,394.25,3.138823529,555.75,429.375,438.25,32,376.1818182,2.826666667,557.0833333,424.0833333,415.9090909,5
317_P,"Jen tells you that she won a free ticket to the Knicks basketball game in New York City. You feel a bit jealous because you are a fan of Knicks and know Jen doesn't even like basketball. She asks, ""Hey, what should I wear to a Knick's game?""","""Oh, you know, Jen, wear your fanciest ball gown and a tiara. After all, the Knicks game is just like a glamorous fashion show, right?""",5n,48,378.3529412,3.235714286,571.7777778,411.2222222,441.0625,25,409.7777778,3.563636364,561.2222222,424.2222222,444.7777778,4
386_P,"Jen just spilled a secret of yours in front of everybody, and you're really surprised because you never told Jen about it. Soon after you realize it's Adam who first shared your secret, so you glare at him with anger and say ""YOU ARE DEAD MEAT!"" With a smile, Adam replies, ""I didn't know it was a big secret.""","""Oh, of course, Adam! It's just a tiny, insignificant secret that I've been guarding with my life. How silly of me to assume you would respect that.""",6n,59,341.3333333,2.725185185,552.5,391.15,398.2142857,27,322.4285714,2.38,541.75,367.125,383.8333333,5
560_P,"Jen is four-month pregnant and she keeps telling you how she has never wanted sex more in her life. Even sitting on Santa's lap arouses her sex drive! You explain to her this is all normal due to the pregnancy hormones. She says, ""Well you know what, I go see my doctor tomorrow. I'll ask her about this. Maybe she can give me a pill or something.""","""Oh, yes, Jen, definitely ask your doctor for a magic pill to suppress those pesky pregnancy hormones. Because who needs a natural and beautiful experience when we can just medicate our way through it, right?""",7n,67,373.1,3.072258065,592.75,406.7,451.2105263,35,367.2,2.825,575.6363636,410.6363636,436.5,5
461_P,"The other night you hooked up with Adam's girlfriend when he wasn't home. Feeling all guilty and unsettled, you renovated the whole living room and even bought an expensive TV cabinet that can be remotely controlled. Coming home to this surprise, he says, ""Wow, you are amazing, that's the dream! Man, how did you afford this stuff?""","""Oh, you know, just a little side business I started. Turns out there's a lucrative market for betraying friends and stealing girlfriends. Who would have thought, right?""",8n,57,407.5789474,3.205483871,577.1904762,432.6666667,440.3125,27,351.9230769,2.875294118,579.2307692,389.8461538,414.1666667,6
367_P,"Adam has a theater audition tomorrow and you're helping him practice some lines. His line goes, ""I just want to go back to my cell, 'cause in my cell I can smoke."" Yours goes, ""smoke away!"" Adam then lights up his cigarette and pretends to know how to smoke it. However, he inhales too much puff and starts coughing violently.","""Oh, Adam, you're a natural at smoking. Your coughing skills are truly top-notch. I'm sure the theater directors will be clamoring to cast you as the coughing smoker in their next production.""",9n,60,392.88,3.258529412,565.2592593,430.8888889,426.12,32,340.4285714,3.346428571,510.6666667,384.3333333,364.4,5
353_P,"You invited a group of friends to come over and play poker. Jen has never played before, so you teach her all the rules. Later on, in the middle of the game, Jen suddenly says, ""You know what I just realized? Joker is poker with a J! Coincidence?""","""Oh, Jen, your powers of deduction are truly remarkable! It must be pure coincidence that 'Joker' and 'poker' both have a 'J' in them. I'm in awe of your genius.""",10n,48,356.6153846,2.820869565,576.8461538,398.8461538,437.3076923,30,308.4,2.444545455,550,351,378.6666667,3
